entity,code,2016,prevalenceofoverweight,region
Afghanistan,AFG,2016,19.70000076293945,Asia
Albania,ALB,2016,58.70000076293945,Europe
Algeria,DZA,2016,60.70000076293945,Africa
Andorra,AND,2016,68.09999847412109,Europe
Angola,AGO,2016,23.89999961853027,Africa
Antigua and Barbuda,ATG,2016,48.40000152587891,South America
Argentina,ARG,2016,63.40000152587891,Südamerika
Armenia,ARM,2016,55.70000076293945,Asien
Australia,AUS,2016,67.19999694824219,Ozeanien
Austria,AUT,2016,58.09999847412109,Europa
Azerbaijan,AZE,2016,53.5,Asien
Bahamas,BHS,2016,65.19999694824219,Südamerika
Bahrain,BHR,2016,64.40000152587891,Asien
Bangladesh,BGD,2016,19,Asien
Barbados,BRB,2016,55.29999923706055,Südamerika
Belarus,BLR,2016,62.90000152587891,Europa
Belgium,BEL,2016,64.09999847412109,Europa
Belize,BLZ,2016,51.79999923706055,Südamerika
Benin,BEN,2016,26.29999923706055,Afrika
Bhutan,BTN,2016,25.39999961853027,Asien
Bolivia,BOL,2016,53.20000076293945,Südamerika
Bosnia and Herzegovina,BIH,2016,56.40000152587891,Europa
Botswana,BWA,2016,38.40000152587891,Afrika
Brazil,BRA,2016,56.90000152587891,Südamerika
Brunei,BRN,2016,42.20000076293945,Asien
Bulgaria,BGR,2016,66.30000305175781,Europa
Burkina Faso,BFA,2016,20,Afrika
Burundi,BDI,2016,19.29999923706055,Afrika
Cambodia,KHM,2016,20.29999923706055,Asien
Cameroon,CMR,2016,29.70000076293945,Afrika
Canada,CAN,2016,67.5,Nordamerika
Cape Verde,CPV,2016,32.09999847412109,Afrika
Central African Republic,CAF,2016,23.20000076293945,Afrika
Chad,TCD,2016,19.5,Afrika
Chile,CHL,2016,64.40000152587891,Südamerika
China,CHN,2016,33.79999923706055,Asien
Colombia,COL,2016,58.59999847412109,Südamerika
Comoros,COM,2016,24.79999923706055,Afrika
Congo,COG,2016,28.10000038146973,Afrika
Cook Islands,COK,2016,83.90000152587891,Ozeanien
Costa Rica,CRI,2016,61.5,Südamerika
Cote d'Ivoire,CIV,2016,28.70000076293945,Afrika
Croatia,HRV,2016,64.30000305175781,Europa
Cuba,CUB,2016,62.20000076293945,Südamerika
Cyprus,CYP,2016,60.79999923706055,Europa
Czech Republic,CZE,2016,66.69999694824219,Europa
Democratic Republic of the Congo,COD,2016,22.10000038146973,Afrika
Denmark,DNK,2016,59.20000076293945,Europa
Djibouti,DJI,2016,35.70000076293945,Afrika
Dominica,DMA,2016,60.70000076293945,Südamerika
Dominican Republic,DOM,2016,59.90000152587891,Südamerika
Ecuador,ECU,2016,54.90000152587891,Südamerika
Egypt,EGY,2016,61.90000152587891,Afrika
El Salvador,SLV,2016,56.79999923706055,Südamerika
Equatorial Guinea,GNQ,2016,25.10000038146973,Afrika
Eritrea,ERI,2016,19.20000076293945,Afrika
Estonia,EST,2016,60.40000152587891,Europa
Ethiopia,ETH,2016,18.10000038146973,Afrika
Fiji,FJI,2016,63.40000152587891,Ozeanien
Finland,FIN,2016,62.5,Europa
France,FRA,2016,62.90000152587891,Europa
Gabon,GAB,2016,36.90000152587891,Afrika
Gambia,GMB,2016,27.89999961853027,Afrika
Georgia,GEO,2016,57.20000076293945,Asien
Germany,DEU,2016,62.79999923706055,Europa
Ghana,GHA,2016,29.29999923706055,Afrika
Greece,GRC,2016,67.09999847412109,Europa
Grenada,GRD,2016,49.40000152587891,Südamerika
Guatemala,GTM,2016,51.40000152587891,Südamerika
Guinea,GIN,2016,23.79999923706055,Afrika
Guinea-Bissau,GNB,2016,26.89999961853027,Afrika
Guyana,GUY,2016,47.5,Südamerika
Haiti,HTI,2016,51.09999847412109,Südamerika
Honduras,HND,2016,51.90000152587891,Südamerika
Hungary,HUN,2016,65.40000152587891,Europa
Iceland,ISL,2016,61.5,Europa
India,IND,2016,19.29999923706055,Asien
Indonesia,IDN,2016,28.29999923706055,Asien
Iran,IRN,2016,60.90000152587891,Asien
Iraq,IRQ,2016,59.79999923706055,Asien
Ireland,IRL,2016,63.59999847412109,Europa
Israel,ISR,2016,65.30000305175781,Asien
Italy,ITA,2016,64.09999847412109,Europa
Jamaica,JAM,2016,55,Südamerika
Japan,JPN,2016,29.39999961853027,Asien
Jordan,JOR,2016,66.5,Asien
Kazakhstan,KAZ,2016,53.90000152587891,Asien
Kenya,KEN,2016,22.60000038146973,Afrika
Kiribati,KIR,2016,78,Ozeanien
Kuwait,KWT,2016,72.09999847412109,Asien
Kyrgyzstan,KGZ,2016,45.79999923706055,Asien
Laos,LAO,2016,22.60000038146973,Asien
Latvia,LVA,2016,61.70000076293945,Europa
Lebanon,LBN,2016,66.90000152587891,Asien
Lesotho,LSO,2016,33.20000076293945,Afrika
Liberia,LBR,2016,27.79999923706055,Afrika
Libya,LBY,2016,65.69999694824219,Afrika
Lithuania,LTU,2016,62.90000152587891,Europa
Luxembourg,LUX,2016,61.70000076293945,Europa
Macedonia,MKD,2016,60.90000152587891,Europa
Madagascar,MDG,2016,21.10000038146973,Afrika
Malawi,MWI,2016,20.10000038146973,Afrika
Malaysia,MYS,2016,41.70000076293945,Asien
Maldives,MDV,2016,28.5,Asien
Mali,MLI,2016,24.39999961853027,Afrika
Malta,MLT,2016,70,Europa
Marshall Islands,MHL,2016,82.69999694824219,Ozeanien
Mauritania,MRT,2016,31.5,Afrika
Mauritius,MUS,2016,33.79999923706055,Afrika
Mexico,MEX,2016,64.09999847412109,Nordamerika
Micronesia (country),FSM,2016,70.09999847412109,Ozeanien
Moldova,MDA,2016,54.09999847412109,Europa
Mongolia,MNG,2016,53.90000152587891,Asien
Montenegro,MNE,2016,62.29999923706055,Europa
Morocco,MAR,2016,59.5,Afrika
Mozambique,MOZ,2016,23.10000038146973,Afrika
Myanmar,MMR,2016,24.60000038146973,Asien
